Places,Count,,,,,
Hancock Park,45,,,,,
Harbor City,22,,,,,
Harbor Gateway,29,,,,,
Harvard Heights,15,,,,,
Harvard Park,22,,,,,
Highland Park,27,,,,,
Historic Filipinotown,18,,,,,
Hollywood,109,,,,,
Hollywood Hills,45,,,,,
Hyde Park,16,,,,,
Koreatown,43,,,,,
Lafayette Square,6,,,,,
Lake Balboa,31,,,,,
Lakeview Terrace,15,,,,,
Leimert Park,23,,,,,
Lincoln Heights,14,,,,,
Little Armenia,25,,,,,
Little Bangladesh,28,,,,,
Los Feliz,20,,,,,
Mar Vista,32,,,,,
Marina Peninsula,8,,,,,
Melrose,184,,,,,
Mid-city,22,,,,,
Miracle Mile,18,,,,,
Mission Hills,14,,,,,
Mt. Washington,12,,,,,
North Hills,37,,,,,
North Hollywood,108,,,,,
Northridge,33,,,,,
Pacific Palisades,31,,,,,
Pacoima,46,,,,,
Palms,51,,,,,
Panorama City,53,,,,,
Park La Brea,9,,,,,
Pico-Union,42,,,,,
Playa Vista,10,,,,,
Porter Ranch,26,,,,,
Rancho Park,9,,,,,
Reseda,57,,,,,
Reseda Ranch,6,,,,,
Reynier Village,5,,,,,
San Pedro,37,,,,,
Shadow Hills,7,,,,,
Sherman Oaks,69,,,,,
Silverlake,70,,,,,
South Carthay,20,,,,,
South Park,34,,,,,
Studio City,22,,,,,
Sun Valley,28,,,,,
Sunland,24,,,,,
Sylmar,89,,,,,
Tarzana,42,,,,,
Temple-Beaudry,37,,,,,
Thai Town,10,,,,,
Toluca Lake,6,,,,,
Tujunga,15,,,,,
University Park,24,,,,,
Valley Glen,30,,,,,
Valley Village,33,,,,,
Van Nuys,68,,,,,
Venice,31,,,,,
Vermont Knolls,15,,,,,
Vermont Square,13,,,,,
Vermont Vista,20,,,,,
Vernon Central,31,,,,,
Victoria Park,15,,,,,
Watts,23,,,,,
West Adams,32,,,,,
West Hills,21,,,,,
West Los Angeles,34,,,,,
West Vernon,53,,,,,
Westchester,30,,,,,
Westlake,44,,,,,
Westwood,33,,,,,
Wholesale District,16,,,,,
Wilmington,25,,,,,
Wilshire Center,38,,,,,
Winnetka,41,,,,,
Woodland Hills,60,,,,,
Acton,5,,,,,
Altadena,33,,,,,
Athens-Westmont,29,,,,,
Athens Village,5,,,,,
Canyon Country,12,,,,,
Castaic,7,,,,,
Covina,12,,,,,
Covina (Charter Oak),5,,,,,
Del Aire,5,,,,,
East Los Angeles,69,,,,,
East Rancho Dominguez,8,,,,,
Florence-Firestone,49,,,,,
Hacienda Heights,25,,,,,
La Crescenta-Montrose,10,,,,,
Ladera Heights,12,,,,,
Lennox,17,,,,,
Marina del Rey,5,,,,,
Monrovia,5,,,,,
Northeast San Gabriel,5,,,,,
Rancho Dominguez,5,,,,,
Rowland Heights,12,,,,,
Santa Monica Mountains,5,,,,,
South San Gabriel,7,,,,,
South Whittier,25,,,,,
Stevenson Ranch,10,,,,,
Valinda,8,,,,,
View Park/Windsor Hills,14,,,,,
Walnut Park,17,,,,,
West Carson,26,,,,,
West Whittier/Los Nietos,10,,,,,
Willowbrook,20,,,,,
